Province	season_year	rfh_total	yield	production
Central	1986	1582198.408	2.6587019	281822.4063
Central	1987	1697980.849	3.3198484	395218
Central	1988	1883335.84	3.083247	438339.0625
Central	1989	1691379.006	2.2316922	231551.4531
Central	1990	1882215.379	2.8291057	326790
Central	1991	1391344.722	1.6961468	172794.9531
Central	1992	2141080.875	3.5142313	396538.8438
Central	1993	1575292.554	1.3584301	218989.7969
Central	1994	1489977.679	1.7505803	172176.5625
Central	1995	1668105.621	2.6465309	347968.5313
Central	1996	1873222.262	1.6406291	153324.9844
Central	1997	2051757.59	2.2118707	144346.6875
Central	1998	2033772.936	1.3437723	100864.8906
Central	1999	1775869.558	1.9096947	117303
Central	2000	2498482.174	1.8132173	162272.0625
Central	2001	1529068.591	1.5732663	130655.0469
Central	2002	2074878.962	2.6524099	342856
Central	2003	1921137.049	2.80357	331856
Central	2004	1576605.692	1.57	204230
Central	2005	2042961.86	2.82	416835
Central	2006	1940461.551	2.82	405282
Central	2011	2049407.032	2.6852468	494214.6875
Central	2012	1729803.878	2.2061389	478734
Central	2013	1779901.531	2.82	723760.875
Eastern	1986	1314309.184	1.6600612	319634.8125
Eastern	1987	1426510.77	2.0771862	583327.875
Eastern	1988	1672994.888	1.7626206	540326.0625
Eastern	1989	1518167.238	1.0825385	283367.4375
Eastern	1990	1208345.411	1.3063929	316107.9063
Eastern	1991	1104847.859	0.3210973	82317.14844
Eastern	1992	1579969.881	2.63801	339390.5313
Eastern	1993	1107547.545	1.2232604	213845.4844
Eastern	1994	1098427.263	1.3211317	197935.9219
Eastern	1995	1491053.293	1.8117083	375942.1563
Eastern	1996	1501810.082	1.2467236	248093.0156
Eastern	1997	1472579.19	1.2121193	194291.8125
Eastern	1998	1504953.852	1.3853944	284356.3438
Eastern	1999	1326347.373	1.45457	279964
Eastern	2000	1660593.035	1.0986595	196317.2656
Eastern	2001	1223846.058	1.1883874	202384.75
Eastern	2002	1496846.059	1.0788706	201521
Eastern	2003	1349857.26	1.55555	260469
Eastern	2004	1408429.994	0.84	169315
Eastern	2005	1536833.713	1.38	285519
Eastern	2006	1850296.027	1.08	225178
Eastern	2011	1523123.604	2.0802326	577525.125
Eastern	2012	1233543.413	1.9243459	572289
Eastern	2013	1323151.937	2.24	745580.3125
Copperbelt	1986	1699776.496	2.4349321	48253.05078
Copperbelt	1987	1819858.557	2.8602626	71354.96875
Copperbelt	1988	1778587.039	2.0632314	60025.58984
Copperbelt	1989	1728081.142	3.5026897	77146.74219
Copperbelt	1990	1768437.244	3.4553088	62091.89844
Copperbelt	1991	1519803.261	1.6128115	32348.16016
Copperbelt	1992	2053960.989	2.6174419	79421.03906
Copperbelt	1993	1475453.617	1.8400702	54806.48828
Copperbelt	1994	1414447.918	1.9044172	50288.03906
Copperbelt	1995	1626840.519	2.099605	76230.35938
Copperbelt	1996	1667425.734	1.3523677	53102.07031
Copperbelt	1997	1958204.094	1.0897602	29493.26953
Copperbelt	1998	1898980.062	2.0298373	64144.89063
Copperbelt	1999	1524723.455	1.4572696	58454
Copperbelt	2000	1947213.739	2.0460941	68079.6875
Copperbelt	2001	1504358.754	1.7659901	64299.69922
Copperbelt	2002	1776826.038	2.3253957	144458
Copperbelt	2003	1901491.209	2.48648	141483
Copperbelt	2004	1506812.223	1.84	118737
Copperbelt	2005	1769665.126	2.33	165329
Copperbelt	2006	1953093.729	2.01	130601
Copperbelt	2011	1782075.929	2.611175	248623.625
Copperbelt	2012	1762597.366	2.6004399	208544
Copperbelt	2013	1936264.668	2.73	235415.7031
Luapula	1986	1865235.461	1.6291269	17912.25
Luapula	1987	1701203.715	2.4859702	25891.38086
Luapula	1988	1735907.588	2.554084	42757.92188
Luapula	1989	1776652.943	2.3400653	38685.96094
Luapula	1990	1688097.475	1.7791683	17756.09961
Luapula	1991	1569150.503	2.2577001	29027.25
Luapula	1992	1804348.39	2.4786984	37668.78125
Luapula	1993	1594301.684	2.8338897	47320.28906
Luapula	1994	1724981.43	1.9952882	31361.93945
Luapula	1995	1780070.955	2.4646213	37679.12891
Luapula	1996	1663404.837	1.9500761	33806.51953
Luapula	1997	2182417.302	0.7115781	9216.360352
Luapula	1998	1907430.203	1.7706666	21116.9707
Luapula	1999	1669412.698	1.3524299	15250
Luapula	2000	2120449.362	1.1654122	14997.69043
Luapula	2001	1985332.625	1.5632461	15713.75
Luapula	2002	1816033.414	1.4478139	14860
Luapula	2003	1754792.933	1.59302	20462
Luapula	2004	1989060.696	1.37	31883
Luapula	2005	1840681.641	1.97	37774
Luapula	2006	2075320.143	1.56	32225
Luapula	2011	1894457.312	2.7500174	128775.8203
Luapula	2012	1880992.219	2.5334682	94033
Luapula	2013	1996782.446	2.87	131746.9063
Lusaka	1986	890662.0418	0.7993301	35437.5
Lusaka	1987	1074980.427	2.0909064	88886.52344
Lusaka	1988	1333829.776	2.1646986	70986.96094
Lusaka	1989	1065285.921	1.5000587	38304
Lusaka	1990	913706.5675	1.5905567	46285.19922
Lusaka	1991	804237.3578	0.820272	39470.67188
Lusaka	1992	1221860.156	2.9949371	85715.10156
Lusaka	1993	943129.7085	1.0427146	31889.33984
Lusaka	1994	723429.1369	0.9874207	19328.75977
Lusaka	1995	1141211.016	2.4642528	76416.47656
Lusaka	1996	1419019.433	1.6476338	44453.16016
Lusaka	1997	932488.7869	1.5135677	22730.75977
Lusaka	1998	1266353.771	1.8190885	32909.12891
Lusaka	1999	1223606.488	1.3294459	20177
Lusaka	2000	1323279.076	2.0408469	58127.39844
Lusaka	2001	808989.5333	1.8867123	48354.55078
Lusaka	2002	904143.7814	3.5208368	177865
Lusaka	2003	1316102.003	2.97368	58590
Lusaka	2004	844104.6203	1.13	33061
Lusaka	2005	1421750.678	2.28	61180
Lusaka	2006	1210556.916	2.21	84127
Lusaka	2011	1016858.538	2.6213823	96823.07813
Lusaka	2012	1190023.171	2.2192436	96907
Lusaka	2013	1223305.317	3.13	148290.625
Muchinga	1986	1163047.4	0	0
Muchinga	1987	1318147.535	0	0
Muchinga	1988	1538279.154	0	0
Muchinga	1989	1201449.275	0	0
Muchinga	1990	1306192.964	0	0
Muchinga	1991	1131321.806	0	0
Muchinga	1992	1551508.066	0	0
Muchinga	1993	1144686.845	0	0
Muchinga	1994	987863.5382	0	0
Muchinga	1995	1126934.665	0	0
Muchinga	1996	1291518.292	0	0
Muchinga	1997	1170841.89	0	0
Muchinga	1998	1491476.688	0	0
Muchinga	1999	1337801.435	0	0
Muchinga	2000	1377228.236	0	0
Muchinga	2001	1028839.916	0	0
Muchinga	2002	1164524.97	0	0
Muchinga	2003	1697385.084	0	0
Muchinga	2004	1014089.066	0	0
Muchinga	2005	1469410.511	0	0
Muchinga	2006	1509785.339	0	0
Muchinga	2011	1334651.13	3.2360634	226989.0938
Muchinga	2012	1359182.682	2.8904399	205412
Muchinga	2013	1404887.365	3.11	244978.5
Northern	1986	987576.5042	2.0127019	101412
Northern	1987	1135518.571	2.9630291	164688.125
Northern	1988	1569514.27	0.7919514	150776.4531
Northern	1989	1191368.352	2.2871231	103261.3203
Northern	1990	1025942.204	2.0666755	85601.70313
Northern	1991	788832.111	1.9687534	71983.53125
Northern	1992	1304692.935	2.3845387	120273.75
Northern	1993	884576.7998	2.5538965	180861.8438
Northern	1994	815546.8716	2.438385	117827.6406
Northern	1995	1223021.376	2.4621517	113010.2969
Northern	1996	1543903.305	2.1278975	97251.29688
Northern	1997	1091110.815	1.2327504	44224.92188
Northern	1998	1598942.495	1.390107	62388
Northern	1999	1317154.471	1.0290637	38523
Northern	2000	1565411.562	1.0472747	43496.46094
Northern	2001	820452.5516	1.211054	38022.25
Northern	2002	1257420.409	1.570642	79881
Northern	2003	1233263.872	1.716216	91878
Northern	2004	1062625.44	1.27	118017
Northern	2005	1425015.772	1.8	123239
Northern	2006	1196032.575	1.84	138057
Northern	2011	1146276.538	2.7530031	271379.875
Northern	2012	1259120.13	2.616943	210479
Northern	2013	1257638.863	2.78	283755.875
North-Western	1986	1616068.973	1.6064743	15168.33008
North-Western	1987	1583605.755	1.8820194	27549
North-Western	1988	1674744.352	1.9272913	33931.89063
North-Western	1989	1530807.143	1.3892939	22920.57031
North-Western	1990	1311086.551	2.2023174	26229.59961
North-Western	1991	1312768.663	1.3868841	16602.39063
